Trial	Day	Infected	Vaccinated	VaxProb
8	29	46	1006	8948	0
8	30	35	1000	8965	0
8	31	27	998	8975	0
8	32	21	995	8984	0
8	33	19	993	8988	0
8	34	15	991	8994	0
8	35	10	990	9000	0
8	36	9	989	9002	0
8	37	7	988	9005	0
8	38	5	988	9007	0
8	39	3	988	9009	0
8	40	2	988	9010	0
8	41	1	988	9011	0
8	42	0	988	9012	0
9	0	1200	8800	0	0
9	1	1842	8158	0	0
9	2	2640	7360	0	0
9	3	3498	6502	0	0
9	4	4304	5696	0	0
9	5	3852	4989	1159	0
9	6	3839	4319	1842	0
9	7	3622	3738	2640	0
9	8	3271	3231	3498	0
9	9	2882	2814	4304	0
9	10	2547	2442	5011	0
9	11	2173	2146	5681	0
9	12	1821	1917	6262	0
9	13	1502	1729	6769	0
9	14	1246	1568	7186	0
9	15	993	1449	7558	0
9	16	784	1362	7854	0
9	17	647	1270	8083	0
9	18	529	1200	8271	0
9	19	409	1159	8432	0
9	20	313	1136	8551	0
9	21	258	1104	8638	0
9	22	199	1071	8730	0
9	23	150	1050	8800	0
9	24	122	1037	8841	0
9	25	111	1025	8864	0
9	26	92	1012	8896	0
9	27	67	1004	8929	0
9	28	52	998	8950	0
9	29	43	994	8963	0
9	30	33	992	8975	0
9	31	21	991	8988	0
9	32	14	990	8996	0
9	33	10	988	9002	0
9	34	8	986	9006	0
9	35	8	984	9008	0
9	36	7	984	9009	0
9	37	6	984	9010	0
9	38	4	984	9012	0
9	39	3	983	9014	0
9	40	1	983	9016	0
9	41	1	983	9016	0
9	42	1	983	9016	0
9	43	1	983	9016	0
9	44	0	983	9017	0
10	0	1200	8800	0	0
10	1	1842	8158	0	0
10	2	2640	7360	0	0
10	3	3498	6502	0	0
10	4	4304	5696	0	0
10	5	3852	4989	1159	0
10	6	3839	4319	1842	0
10	7	3622	3738	2640	0
10	8	3271	3231	3498	0
10	9	2882	2814	4304	0
10	10	2547	2442	5011	0
10	11	2173	2146	5681	0
10	12	1821	1917	6262	0
10	13	1502	1729	6769	0
10	14	1246	1568	7186	0
10	15	993	1449	7558	0
10	16	784	1362	7854	0
10	17	647	1270	8083	0
10	18	529	1200	8271	0
10	19	409	1159	8432	0
10	20	313	1136	8551	0
10	21	258	1104	8638	0
10	22	199	1071	8730	0
10	23	150	1050	8800	0
10	24	122	1037	8841	0
10	25	111	1025	8864	0
10	26	92	1012	8896	0
10	27	67	1004	8929	0
10	28	52	998	8950	0
10	29	43	994	8963	0
10	30	33	992	8975	0
10	31	21	991	8988	0
10	32	14	990	8996	0
10	33	10	988	9002	0
10	34	8	986	9006	0
10	35	8	984	9008	0
10	36	7	984	9009	0
10	37	6	984	9010	0
10	38	4	984	9012	0
10	39	3	983	9014	0
10	40	1	983	9016	0
10	41	1	983	9016	0
10	42	1	983	9016	0
10	43	1	983	9016	0
10	44	0	983	9017	0
11	0	1200	8800	0	0
11	1	1842	8158	0	0
11	2	2640	7360	0	0
11	3	3498	6502	0	0
11	4	4304	5696	0	0
11	5	3852	4989	1159	0
11	6	3839	4319	1842	0
11	7	3622	3738	2640	0
11	8	3271	3231	3498	0
11	9	2882	2814	4304	0
11	10	2547	2442	5011	0
11	11	2173	2146	5681	0
11	12	1821	1917	6262	0
11	13	1502	1729	6769	0
11	14	1246	1568	7186	0
11	15	993	1449	7558	0
11	16	784	1362	7854	0
11	17	647	1270	8083	0
11	18	529	1200	8271	0
11	19	409	1159	8432	0
11	20	313	1136	8551	0
11	21	258	1104	8638	0
11	22	199	1071	8730	0
11	23	150	1050	8800	0
11	24	122	1037	8841	0
11	25	111	1025	8864	0
11	26	92	1012	8896	0
11	27	67	1004	8929	0
11	28	52	998	8950	0
11	29	43	994	8963	0
11	30	33	992	8975	0
11	31	21	991	8988	0
11	32	14	990	8996	0
11	33	10	988	9002	0
11	34	8	986	9006	0
11	35	8	984	9008	0
11	36	7	984	9009	0
11	37	6	984	9010	0
11	38	4	984	9012	0
11	39	3	983	9014	0
11	40	1	983	9016	0
11	41	1	983	9016	0
11	42	1	983	9016	0
11	43	1	983	9016	0
11	44	0	983	9017	0
12	0	1200	8800	0	0
12	1	1842	8158	0	0
12	2	2640	7360	0	0
12	3	3498	6502	0	0
12	4	4304	5696	0	0
12	5	3852	4989	1159	0
12	6	3839	4319	1842	0
